open_time;open;high;low;close;up down;up down volume;volume;close_time;quote_volume;trades;taker_base_volue;taker_quote_volume;ignore;acc_volum;price diff;10xprice diff;10 mins acc volume;10mins acc price diff;;;10 mins acc volume;10mins acc price diff
1.60723E+12;19133.09;19140.25;19128.23;19128.29;-1;-11.824436;11.824436;1.60723E+12;226262.706;419;5.596864;107100.6532;0;-76.24993;-4.64;-46.4;44.274467;16.28;;;-6.382493;2.81
1.60723E+12;19128.29;19140;19128.28;19139.99;1;13.721444;13.721444;1.60723E+12;262510.1288;472;6.200098;118615.7404;0;-62.528486;11.7;117;69.798046;24.16;;;-6.354971;-19.14
1.60723E+12;19139.99;19140.13;19124.01;19137.36;-1;-8.980355;8.980355;1.60723E+12;171821.0798;363;5.957648;113993.3366;0;-71.508841;-2.63;-26.3;36.328264;6.21;;;-6.021369;9.52
1.60723E+12;19137.36;19142;19133.04;19140.49;1;7.992984;7.992984;1.60723E+12;152977.2657;281;3.181512;60890.50915;0;-63.515857;3.13;31.3;57.36206;15.39;;;-5.282121;-5.79
1.60723E+12;19140.49;19146.72;19140.49;19144.09;1;7.465195;7.465195;1.60723E+12;142909.8833;375;5.319043;101826.1373;0;-56.050662;3.6;36;34.579625;-6.47;;;-4.704385;2.51
1.60723E+12;19144.59;19155.7;19144.14;19154.79;1;23.830316;23.830316;1.60723E+12;456340.0507;530;11.678221;223629.4615;0;-32.220346;10.7;107;34.311479;6.03;;;-3.619741;-5.42
1.60723E+12;19154.79;19158.77;19150.01;19155.65;1;20.366313;20.366313;1.60723E+12;390108.6512;451;12.833108;245811.5;0;-11.854033;0.86;8.6;2.14109;-11.54;;;-2.68928;16.01
1.60723E+12;19155.68;19156.91;19148.87;19149.89;-1;-14.92573;14.92573;1.60723E+12;285859.5214;306;4.657938;89206.88174;0;-26.779763;-5.76;-57.6;-13.562459;0.73;;;-2.015646;3.44
1.60723E+12;19149.86;19156.62;19148.08;19156.6;1;3.726878;3.726878;1.60723E+12;71381.25882;223;2.772048;53093.47351;0;-23.052885;6.71;67.1;8.700412;19.17;;;-1.736178;2.61
1.60723E+12;19156.34;19156.34;19133.5;19134.33;-1;-14.518465;14.518465;1.60723E+12;277908.3014;371;6.341669;121394.6351;0;-37.57135;-22.27;-222.7;-1.244711;2.65;;;-1.280396;11.26
1.60723E+12;19134.33;19149.21;19130.35;19149.21;1;17.420323;17.420323;1.60723E+12;333355.1382;315;6.884434;131760.0259;0;-20.151027;14.88;148.8;21.781753;33.68;;;-1.244711;2.65
1.60723E+12;19149.21;19155.78;19149.21;19152.45;1;13.699143;13.699143;1.60723E+12;262363.4257;263;11.271042;215860.3604;0;-6.451884;3.24;32.4;-1.280396;11.26;;;-1.067798;-5.08
1.60723E+12;19152.45;19152.45;19142.49;19146.2;-1;-19.748338;19.748338;1.60723E+12;378156.5663;351;6.630952;126970.4242;0;-26.200222;-6.25;-62.5;-11.859785;11.36;;;-0.589627;7.97
1.60723E+12;19146.21;19152.76;19146.21;19152.75;1;12.053441;12.053441;1.60723E+12;230838.765;170;9.413084;180271.2197;0;-14.146781;6.55;65.5;4.511319;17.23;;;0.223366;5.07
1.60723E+12;19152.75;19152.75;19133.36;19134.02;-1;-14.789451;14.789451;1.60723E+12;283104.0837;336;6.544966;125266.2117;0;-28.936232;-18.73;-187.3;-36.632523;1.51;;;1.487142;-0.63
1.60723E+12;19134.02;19150.46;19133.42;19150.12;1;7.197049;7.197049;1.60723E+12;137751.9066;328;3.761108;71984.6044;0;-21.739183;16.1;161;-29.286113;13.66;;;2.14109;-11.54
1.60723E+12;19150.12;19151.76;19138.11;19143.25;-1;-8.340073;8.340073;1.60723E+12;159662.8499;359;2.477615;47430.21915;0;-30.079256;-6.87;-68.7;-21.037207;19.27;;;2.505273;14.98
1.60723E+12;19144.36;19156.39;19144.36;19156.38;1;4.662764;4.662764;1.60723E+12;89297.30319;212;2.339907;44811.96934;0;-25.416492;13.13;131.3;-23.884451;25.86;;;3.216498;5.63
1.60723E+12;19156.38;19169.7;19156.38;19169.06;1;7.337141;7.337141;1.60723E+12;140600.8659;329;1.933385;37050.79104;0;-18.079351;12.68;126.8;-41.487455;-4.41;;;3.393221;-14.49
1.60723E+12;19169.07;19171.99;19159.25;19159.25;-1;-6.218245;6.218245;1.60723E+12;119174.4398;335;3.84338;73659.93284;0;-24.297596;-9.81;-98.1;-26.550574;6.76;;;3.715914;0.09
1.60723E+12;19159.26;19169.27;19158.27;19168.01;1;8.507999;8.507999;1.60723E+12;163053.0058;337;3.734763;71572.5691;0;-15.789597;8.76;87.6;-41.164106;8.98;;;3.828136;24.75
1.60723E+12;19168.01;19170.01;19158.27;19160.47;-1;-5.641826;5.641826;1.60723E+12;108130.4871;329;3.306522;63370.55397;0;-21.431423;-7.54;-75.4;-39.93697;0.85;;;4.196191;18.88
1.60723E+12;19160.48;19165.81;19159.51;19163.81;1;3.119754;3.119754;1.60723E+12;59783.24776;164;0.879364;16851.51832;0;-18.311669;3.34;33.4;-20.120026;14.26;;;4.511319;17.23
1.60723E+12;19163.82;19164.65;19160.27;19163.43;-1;-3.377234;3.377234;1.60723E+12;64716.46458;159;0.605048;11594.52962;0;-21.688903;-0.38;-3.8;-38.672086;5.36;;;4.596819;19.26
1.60723E+12;19163.26;19163.26;19137.03;19154.26;-1;-29.090401;29.090401;1.60723E+12;557088.4126;577;12.457303;238548.6037;0;-50.779304;-9.17;-91.7;-43.204276;2.18;;;6.485147;-10.27
1.60723E+12;19154.26;19154.26;19146.38;19147.68;-1;-7.443041;7.443041;1.60723E+12;142540.0419;214;2.085514;39942.77905;0;-58.222345;-6.58;-65.8;-2.68928;16.01;;;6.836397;-7.54
1.60723E+12;19147.68;19178.64;19145.5;19169.39;1;15.445955;15.445955;1.60723E+12;296027.4353;460;11.367618;217841.9219;0;-42.77639;21.71;217.1;-13.712253;15.65;;;7.192636;-4.45
1.60723E+12;19169.39;19176.18;19166.89;19169.11;-1;-11.187317;11.187317;1.60723E+12;214477.7185;397;3.356363;64347.42105;0;-53.963707;-0.28;-2.8;-20.109069;-2.52;;;7.891087;9.66
1.60723E+12;19169.11;19173.13;19151.97;19151.97;-1;-12.94024;12.94024;1.60723E+12;247993.6796;501;6.936783;132932.1775;0;-66.903947;-17.14;-171.4;-18.161766;-5.32;;;7.975737;4.14
1.60723E+12;19152;19177.61;19133.5;19175.82;1;22.274022;22.274022;1.60723E+12;426564.2215;899;11.769067;225350.794;0;-44.629925;23.85;238.5;-12.826124;11.63;;;8.10533;5.27
1.60723E+12;19175.82;19182;19163;19168.23;-1;-20.831777;20.831777;1.60723E+12;399483.0644;799;10.387432;199185.8963;0;-65.461702;-7.59;-75.9;-45.859213;-19.83;;;8.700412;19.17
1.60723E+12;19167.76;19173.26;19156.87;19168.86;1;9.735135;9.735135;1.60723E+12;186585.4939;451;6.784899;130031.5976;0;-55.726567;0.63;6.3;-43.959908;-16.42;;;9.085083;18.53
1.60723E+12;19168.86;19175;19164.01;19174.73;1;14.175118;14.175118;1.60723E+12;271746.3514;575;7.498623;143753.5201;0;-41.551449;5.87;58.7;-43.132758;-15.63;;;10.205002;19.6
1.60723E+12;19174.73;19175.05;19162.95;19169.17;-1;-15.432306;15.432306;1.60723E+12;295830.316;392;4.039871;77437.1127;0;-56.983755;-5.56;-55.6;-65.961445;-23.14;;;10.65595;-13.34
1.60723E+12;19169.18;19170.28;19165.32;19165.61;-1;-7.909424;7.909424;1.60723E+12;151608.1254;428;3.51165;67314.37418;0;-64.893179;-3.56;-35.6;-37.966263;-2.66;;;11.894516;5.39
1.60723E+12;19165.61;19170.28;19162.78;19170.27;1;11.424595;11.424595;1.60723E+12;218960.1604;327;3.367011;64536.71813;0;-53.468584;4.66;46.6;-13.760713;6.08;;;12.788351;19.25
