open_time;open;high;low;close;up down;up down volume;volume;close_time;quote_volume;trades;taker_base_volue;taker_quote_volume;ignore;acc_volum;price diff;10xprice diff;10 mins acc volume;10mins acc price diff;dev 10 mins acc volume;dev 10mins acc price diff;10x up down volume;;;10 mins acc volume;10mins acc price diff;;;
1.60729E+12;19170.21;19175.8;19169.9;19174.73;1;8.208877;8.208877;1.60729E+12;157385.8043;214;4.760157;91262.26769;0;-71.182811;4.52;45.2;24.894703;9.89;12.538536;0.41;82.08877;;;-190.276797;-58.59;0.307919835;;
1.60729E+12;19174.73;19178.27;19173.48;19176.04;1;11.49714;11.49714;1.60729E+12;220465.1821;236;5.767437;110593.4807;0;-59.685671;1.31;13.1;-15.678645;-4.73;-40.573348;-14.62;114.9714;;;-188.848126;-47.41;0.251048295;;
1.60729E+12;19176.04;19176.04;19171.55;19174.24;-1;-7.790441;7.790441;1.60729E+12;149374.8581;235;4.036372;77392.51427;0;-67.476112;-1.8;-18;-4.374992;2.95;11.303653;7.68;-77.90441;;;-187.903989;-53.01;0.282112159;;
1.60729E+12;19174.12;19178.78;19171.55;19178.38;1;10.998106;10.998106;1.60729E+12;210891.627;293;7.832878;150200.11;0;-56.478006;4.14;41.4;20.088286;6.76;24.463278;3.81;109.98106;;;-187.772062;-68.09;0.362620505;;
1.60729E+12;19178.38;19179;19174.99;19178.66;1;11.445461;11.445461;1.60729E+12;219491.8235;237;7.639375;146503.6723;0;-45.032545;0.28;2.8;151.581817;31.62;131.493531;24.86;114.45461;;;-187.2127;-41.38;0.221032013;;
1.60729E+12;19178.18;19180;19176.12;19179.03;1;9.766008;9.766008;1.60729E+12;187293.3923;290;7.297542;139952.9235;0;-35.266537;0.37;3.7;1.130733;28.04;-150.451084;-3.58;97.66008;;;-185.27083;-58.53;0.315915895;;
1.60729E+12;19179.34;19184.7;19174.27;19176.77;-1;-29.756959;29.756959;1.60729E+12;570677.5923;508;19.013339;364648.1424;0;-65.023496;-2.26;-22.6;116.119001;41.72;114.988268;13.68;-297.56959;;;-184.609002;-48.01;0.260063158;;
1.60729E+12;19176.76;19184.7;19176.04;19183.68;1;18.408978;18.408978;1.60729E+12;353062.2527;264;13.942158;267395.9054;0;-46.614518;6.91;69.1;78.190631;35.48;-37.92837;-6.24;184.08978;;;-183.279077;-40.03;0.218410092;;
1.60729E+12;19182.68;19184.57;19180.22;19183.31;1;7.984075;7.984075;1.60729E+12;153154.3708;305;4.294818;82385.2468;0;-38.630443;-0.37;-3.7;85.76313;28.82;7.572499;-6.66;79.84075;;;-183.130766;-55.08;0.300768687;;
1.60729E+12;19183.3;19184.7;19181.49;19181.81;-1;-9.062855;9.062855;1.60729E+12;173850.7823;253;7.094242;136086.0006;0;-47.693298;-1.5;-15;140.92244;41.99;55.15931;13.17;-90.62855;;;-182.260339;-88.79;0.487160292;;
1.60729E+12;19181.97;19183.87;19177.98;19180.1;-1;-6.803687;6.803687;1.60729E+12;130506.8362;233;2.884641;55329.76963;0;-54.496985;-1.71;-17.1;194.947269;58.18;54.024829;16.19;-68.03687;;;-178.063986;4.51;-0.025327974;;
1.60729E+12;19180.1;19181.88;19163.4;19170;-1;-32.364471;32.364471;1.60729E+12;620522.8206;515;7.176111;137597.779;0;-86.861456;-10.1;-101;166.004187;53.82;-28.943082;-4.36;-323.64471;;;-176.021667;-4.81;0.027326181;;
1.60729E+12;19170;19183.37;19169.99;19178.99;1;22.800793;22.800793;1.60729E+12;437262.3315;487;18.280702;350590.2488;0;-64.060663;8.99;89.9;223.434324;69.72;57.430137;15.9;228.00793;;;-170.926197;-46.6;0.272632287;;
1.60729E+12;19178.99;19181.81;19177.75;19181;1;16.672837;16.672837;1.60729E+12;319780.1414;344;10.937571;209777.6396;0;-47.387826;2.01;20.1;179.798626;57.7;-43.635698;-12.02;166.72837;;;-169.773815;-46.11;0.271596653;;
1.60729E+12;19181;19210;19178.49;19210;1;142.491637;142.491637;1.60729E+12;2734988.025;1503;129.855881;2492404.37;0;95.103811;29;290;210.798465;60.68;30.999839;2.98;1424.91637;;;-169.407119;-49.21;0.29048366;;
